,for the 5-year period 1995-2000,ABW,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,TOTAL
169,SWE,1,0,0,1,0,0,0,1082,343,0,0,1527,0,0,0,19,0,14,14118,76,0,0,247,0,0,6,16,0,1345,545,0,410,0,0,0,0,0,31,0,0,31,0,142,65,1987,0,4059,138,0,0,0,1,0,4527,57,0,1289,0,674,0,0,3935,0,0,20,0,0,0,4,298,0,0,0,0,0,20,6,121,0,645,0,0,651,6717,31,497,7,97,0,0,247,0,39,0,655,5,0,0,0,1507,0,0,0,0,0,313,55,0,0,0,0,0,221,0,0,29,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,771,10883,2,314,0,0,23,1,22,0,0,4,0,283,8,0,0,0,0,0,0,687,0,0,0,15,0,0,0,0,2799,92,0,0,55,115,0,0,0,0,56,3243,0,0,0,0,0,0,167,2,39,0,0,5537,0,0,19,0,2,0,0,0,41,0,0,74057
170,SWZ,0,0,0,0,0,0,0,925,3,0,0,0,0,0,0,2,0,3,0,0,0,1,11,0,0,0,691,0,436,3,0,7,0,0,0,0,0,1,0,0,1,0,55,2,0,0,15,6,0,0,0,5,0,38,0,0,2,0,4,0,0,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,0,0,193,0,0,0,19,27,1,0,0,0,1,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0,5409,0,0,7,562,0,0,0,0,0,0,0,70,4,0,807,0,0,1,1,26,0,0,16,0,462,2,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1631,0,0,1,0,0,0,0,0,2149,0,0,15881
171,SYR,0,0,0,0,4252,0,1494,2909,915,0,0,240,0,0,490,305,312,0,7,0,0,3,1060,0,0,0,0,0,7447,518,0,119,0,0,0,0,0,4,0,0,4,6,936,141,10227,0,805,54,884,7,8,0,0,2006,0,0,111,0,4763,0,5,106,0,18,5,70,0,0,0,2491,0,10,0,0,0,0,4,0,0,523,0,0,97,0,4665,8,3926,2021,0,0,0,0,0,0,0,0,1763,0,11840,0,5994,10,0,0,1,0,5,0,283,0,0,0,141,0,0,72,0,0,0,0,23,52,0,0,1,0,0,0,0,0,1,2098,395,0,140,0,0,103,0,9,0,169,19,0,20,20,2799,0,437,0,3881,243,0,0,0,0,0,0,0,0,0,42,0,0,0,78,19,5637,0,0,0,0,0,0,0,0,0,0,9,1712,0,0,0,0,32251,0,0,6163,0,43,0,0,0,15,0,0,130464
172,TCD,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,322,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1957
173,TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3248
174,THA,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,1,0,0,5,0,0,0,318,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,1277
175,TJK,0,4179,0,15,19,59,13,1216,573,929,0,159,0,0,15,322,1,2,15,4183,0,9,3,0,0,3,0,0,210,138,6,35,152,0,0,0,0,32,0,5,21,0,371,410,60271,0,175,23,49,5,33,0,0,598,1,0,2888,0,417,0,0,778,0,2,0,0,0,0,0,351,0,0,0,0,0,19,2,1,0,37,0,1,284,998,30,49,3801,650,2,1,381,6968,0,7743,10,287,5,0,1,3,279,0,0,0,0,4,823,0,0,0,3,0,222,10,0,23,3,0,0,0,0,0,1,1,9,0,0,0,0,0,0,1077,245,9,295,0,38,18,1,39,0,314,31,5,201,1,0,0,1,0,67,195448,1,0,0,0,5,0,5,0,0,88,0,0,0,118,47,197,0,0,0,0,17,0,467,0,0,1,0,369,0,37,16382,0,15267,3610,0,26,0,2,0,0,0,33,0,0,335799
176,TKM,0,0,0,3,0,65,114,388,162,1,0,39,0,0,4,79,0,1,6,579,0,3,14,0,0,0,1,0,318,61,0,14,20,0,0,0,0,9,0,1,6,0,94,144,11210,0,49,16,0,2,0,0,0,320,2,0,505,0,115,0,0,316,0,0,0,0,0,0,0,160,0,0,0,0,0,22,0,7,3,106,0,0,198,107,5,11,1094,220,0,2,55,173,0,327,4,30,0,0,3,5,17,0,0,0,0,1,472,1,0,0,1,0,31,1,0,6,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,208,56,1,72,0,0,5,0,7,0,170,1,1,110,3,0,0,0,0,14,26874,3,0,0,0,2,0,1,0,0,31,0,0,0,56,14,76,0,0,0,2,12,0,0,0,0,0,0,301,1,7,598,0,5750,0,0,10,0,1,0,0,0,89,0,0,52203
177,TLS,1,1,0,0,106,4,0,8886,6,0,0,21,0,0,4286,0,6,0,1,0,0,1,14,0,36,0,1,0,377,14,8,8,174,0,0,0,0,3,0,18,1,0,5,3,61,0,11,3,3,0,0,0,0,73,0,0,3,0,19,0,0,259,0,0,0,0,0,0,0,3,0,0,0,3,0,875,1,2,0,7,136738,28,39,0,0,1,3,94,1,25,312,0,0,0,76,115,34,0,17,1,18,0,0,0,0,31,0,23,0,0,0,0,60,0,0,4,14,0,0,0,0,0,14,0,1708,0,0,4,0,3,0,229,8,6,120,0,51,4,0,1999,37,0,12,6,2391,0,0,0,9,0,1,59,1,0,0,0,262,0,0,0,0,1,0,0,1,1,1,10,0,0,0,0,221,0,0,0,0,0,0,5,0,1,0,0,1853,0,0,17,0,246,0,1,0,21,0,0,162241
178,TON,0,0,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,160,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2412,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5466,0,0,0,0,0,0,21,0,0,0,0,8976
179,TTO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,0,209,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0,0,0,9,0,0,0,121,0,0,0,0,3,0,0,22,0,0,1,0,9,271,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21745,0,152,0,0,0,0,0,0,0,0,0,22788
180,TUN,0,0,0,0,36,15,0,90,502,0,0,4,0,0,173,13,0,0,0,0,0,1,3,0,0,0,0,0,2064,822,0,1,0,0,0,0,0,4,0,0,1,0,6,38,22,0,241,6,23,0,0,0,0,590,0,0,73,0,35113,0,18,1028,0,0,0,5,0,0,1,2,0,0,4,0,0,1,0,1,0,75,0,0,66,0,92,5,2066,8706,0,0,1,0,0,0,0,0,0,0,0,0,167,0,0,0,0,19,0,0,0,0,2,0,4,0,0,75,0,0,0,0,0,3,0,0,0,1,0,91,1,0,0,714,153,0,14,0,0,2,0,106,0,9,0,0,42,0,0,3,0,5,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,10,5,525,0,0,0,2,1,0,0,0,0,0,0,47,0,0,0,0,2546,0,0,5,0,0,0,0,0,5,0,0,56477
181,TUR,1,0,0,68,206,1,200,5063,19795,133,0,16,0,0,19,683,0,6,1300,1,0,5,37,1,0,0,1,0,4523,7062,0,81,10,0,0,0,0,21,0,0,15,0,1455,100,63890,0,8555,47,4,1,0,0,0,665,1,0,772,0,25450,0,0,10145,0,0,2,0,0,0,6,5160,0,0,0,0,2,48,12,807,4,882,0,0,326,3774,3247,18,3322,1822,12,2,28,4396,1,175,16,1,0,0,3,46,22,1,0,0,0,230,11,1,0,96,0,0,1070,17042,0,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25060,2086,1,133,0,0,23,0,355,0,21,301,0,62,3,0,0,0,0,1036,0,52,0,0,0,8,0,2,0,0,3315,16,0,0,126,151,5648,0,0,0,3,86,0,75,0,0,9,0,0,0,13,0,0,26069,552,1,30,0,7,0,0,0,156,0,0,258354
182,TZA,0,0,4,0,0,2,0,848,43,0,14,0,0,0,4,4,0,0,0,0,0,2,95,0,0,0,758,0,6317,227,0,5,0,0,0,0,0,6,54,5,3,0,41,7,271,0,426,5,0,0,0,220,0,2,0,0,73,0,252,0,0,20782,0,2,0,0,0,0,0,51,0,0,0,0,0,3,1,0,0,24,0,0,128,0,0,6,1,504,1,0,0,0,12275,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,2,0,0,0,4583,0,0,0,15412,0,0,61,0,0,0,0,554,294,0,171,0,0,2,1,5,0,12,18,0,4602,0,0,0,0,0,0,27,267963,0,0,0,0,0,4,0,0,1,0,0,0,1,0,320,1,0,0,0,2,0,0,0,0,1,0,55,0,16432,0,0,7697,0,0,5,0,0,0,0,0,11691,0,76,373530
183,UGA,0,0,0,0,0,0,0,4,1,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,6,0,52,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,11,0,0,0,0,65,0,17,0,0,0,0,6,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,25,0,0,0,0,4257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,209,0,0,1,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,359334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,53,0,0,0,0,0,0,0,0,5038,0,0,0,73,0,0,0,0,1,0,0,0,41,14,2,369299
184,UKR,0,0,0,32,0,2130,0,3098,2105,0,0,513,0,0,2,1383,0,2,97,14572,0,15,0,0,0,0,0,0,4810,393,0,80,62,0,0,0,0,58,0,16,36,0,875,7501,160384,0,474,53,22,9,0,0,0,1683,0,0,6601,0,1272,0,0,2931,0,2,0,0,0,0,0,6694,0,0,0,0,0,2,1,0,0,10085,0,0,1422,0,14,64,13296,6682,0,61,185,0,0,621,4,100,0,0,56,0,113,0,0,0,0,16,12084,0,0,0,1,0,134,10,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625,583,0,360,0,0,54,0,3,0,12657,6,2,3547,29,0,0,0,0,198,402958,0,0,0,0,0,0,5,0,0,611,0,0,0,3890,281,545,0,0,0,0,0,0,0,0,0,0,0,690,0,22,0,0,91286,0,0,52,0,0,0,0,0,449,0,0,782774
185,URY,1,0,0,0,0,192,0,449,25,0,0,10,0,0,27,11,0,1,0,0,0,65,4527,0,0,0,0,0,860,50,3,696,1,0,0,0,0,115,0,1,61,0,2,11,225,0,45,622,0,0,0,0,0,11516,0,0,8,0,51,0,0,59,0,0,0,0,0,0,22,2,0,0,0,0,1,7,15,1,146,17,0,0,132,0,0,7,638,844,4,0,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,16,1,0,0,0,0,0,909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,24,0,27,0,0,107,0,20,0,0,97,0,74,424,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,9,243,0,0,0,0,3,0,0,0,0,3,0,3,0,2,0,0,7417,0,0,276,0,0,0,0,0,21,0,0,31301
186,USA,25,0,0,21,0,1,0,257,6,0,0,36,0,0,186,11,0,1,9280,0,0,23,233,36,0,2,2,0,635,17,0,207,20,0,0,0,0,452,0,4,409,0,21,297,1792,0,142,579,0,0,0,0,0,723,5,0,22,0,3,0,0,698,0,1,0,0,0,0,54,0,0,0,0,0,48,197,379,131,150,5510,0,0,380,158,1,75,55,591,467,7,4,0,0,232,9050,28,0,0,14,8403,0,24,0,0,0,7,17,0,0,0,0,0,34941,0,0,4,0,0,0,0,0,0,0,0,171,0,0,0,1,0,0,20,141,0,224,0,0,286,0,322,0,0,10319,0,58,19,0,0,0,0,5,1,1095,0,0,0,2,0,20,0,0,1719,0,0,6,2007,128,106,0,0,0,82,37394,0,0,0,0,242,0,2,0,30,0,0,0,0,19,37,0,97,0,4,0,171,0,0,131802
187,UZB,0,0,0,12,5,340,237,2328,808,1535,0,172,0,0,47,392,0,4,27,2777,0,17,85,0,0,2,3,0,2126,309,1,71,111,0,0,0,0,44,0,5,34,0,372,668,47712,0,238,94,2,9,0,0,0,1609,9,0,2053,0,498,0,0,1471,0,2,0,1,0,0,0,1726,0,1,0,0,0,150,3,38,16,700,0,0,1000,107,13,53,7356,1498,0,10,292,21792,0,4463,23,2148,1,0,12,30,10,1,0,0,1,7,2750,7,0,0,3,0,188,2,0,27,7,0,0,0,0,0,11,0,11,0,0,0,0,0,0,4076,266,9,398,0,0,27,2,58,0,816,8,3,541,15,0,3,0,0,53,175015,15,0,0,0,10,0,5,0,0,138,0,0,0,376,65,394,0,0,0,9,90,1,588,0,0,0,0,2132,4,29,81495,0,38221,0,0,54,0,7,0,1,0,498,0,0,416109
188,VCT,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,1978,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,78,0,1,0,0,1,0,0,2,0,0,0,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,5119,0,0,11,0,0,0,0,0,0,0,0,8301
189,VEN,703,0,0,0,0,104,0,118,2,0,0,0,0,0,7,11,0,5,8,0,0,36,446,1,0,0,0,0,1507,0,0,670,0,0,0,0,0,3179,0,1,120,0,7,6,10,0,64,2576,0,0,0,0,0,15927,0,0,3,0,0,0,0,92,0,0,0,0,0,0,20,55,127,0,0,0,338,6,8,1,725,15,0,0,105,34,0,5,0,18,13,0,1,0,0,0,3,0,0,0,0,17,0,9,0,0,0,2,1,0,0,0,0,0,1247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,0,18,0,0,319,0,5,0,0,746,0,650,9,0,0,0,0,2,0,11,0,0,0,2,0,0,0,0,3,1,0,0,1,16,14,0,0,0,0,14,0,0,0,0,191,0,0,0,1,0,0,37433,0,2,0,5,0,0,0,0,0,0,0,67842
190,VIR,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,8,0,0,0,0,62,0,0,5,0,0,0,0,0,9,0,19,7,0,0,0,0,0,0,303,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,476,0,0,0,4,1,4,0,6,0,0,0,1,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,12,0,2,0,0,2166,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,2494,0,3,1,0,0,0,0,0,1,0,0,5935
191,VNM,0,0,0,0,0,0,0,5876,0,0,0,28,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,7554,0,0,0,231,0,0,0,0,1,0,0,0,0,5,1332,0,0,789,9,0,0,0,0,0,103,0,0,164,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,620,0,0,175,0,0,54,0,286,0,0,1711,0,0,0,44795,4367,0,592,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17131,0,0,0,0,0,0,0,885,0,59,0,0,2,0,1,0,0,23,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,1,0,0,0,0,0,4880,0,0,0,0,0,0,0,0,0,0,0,213914,0,0,1,0,0,0,0,0,0,0,0,308515
192,VUT,0,0,0,0,0,17,0,1296,6,0,0,1,0,0,6,0,0,0,0,0,0,2,3,0,1,0,0,0,90,25,4,5,7,0,0,0,0,186,0,0,0,0,3,2,1,0,7,1,0,0,0,0,0,14,0,0,1,0,115,0,0,119,0,0,0,3,0,0,0,2,0,0,2,0,0,17,0,1,0,1,0,0,18,0,0,0,4,4,0,0,17,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,2,0,0,3,1,0,3528,0,2,0,5,1,0,384,0,0,0,1,14,2,2,0,0,6,0,0,286,0,4,0,182,0,0,0,0,4,218,0,0,0,1,0,0,0,2,0,2,0,0,0,1,10,0,0,0,0,0,0,3,0,0,0,0,408,0,0,1,0,1,0,33,0,1,0,0,7102
193,WSM,0,0,0,0,0,0,0,4642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5141,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,5776,0,0,0,0,0,0,0,0,0,0,0,15675
194,YEM,0,0,0,0,24299,0,1,558,45,0,0,1,0,0,1,16,1970,0,0,0,0,1,2,0,0,0,0,18,1077,112,0,4,0,0,0,0,0,2,0,0,0,8,6,48,1377,442,246,4,1005,0,36,6,0,12,0,1435,55,0,462,0,0,569,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,105,0,0,42,0,1628,0,16717,501,0,70,1,0,435,0,14,3,10524,0,460,0,6192,0,0,0,0,0,1,0,354,0,0,0,2,0,0,5,0,0,0,0,2,0,0,1,14,0,0,0,0,0,3,417,150,0,110,0,2,1,1,0,0,41,0,0,3,0,376,0,3165,0,7,97,0,16,5826,0,0,0,0,0,409,1,1519,0,0,16,5,270,0,0,0,0,1,0,0,0,0,0,1,31,10,375,0,0,19933,0,0,12,0,0,0,0,0,46,0,0,103760
195,ZAF,0,0,0,1,0,13,0,15441,43,0,0,21,0,0,281,34,0,26,26,2,1,8,130,63,9,1,6088,0,3922,35,515,104,98,0,0,0,0,27,0,1,13,0,878,24,67,0,167,54,0,1,0,26,0,1213,0,0,28,4,37,0,1,13230,0,21,27,3,0,0,0,2069,0,0,0,0,12,390,2,2,1,100,0,17,1291,77,0,8,256,183,74,0,129,2,55,0,21,89,0,0,2,269,0,17,0,0,0,7,1,1,0,0,2,0,106,0,0,51,0,0,0,0,0,2,30,2134,92,1,14650,0,0,3,0,508,83,0,6782,0,0,15,14,1238,1,0,11,3,1117,25,0,1,0,0,3,9,3301,0,0,0,73,0,21,0,0,17,210,0,0,8,8,67,3508,0,0,3,94,0,0,0,0,48,0,22,23,159,0,7,18994,0,13,32,0,43,0,0,0,0,0,27,101318
196,ZMB,0,0,3,0,1,1,0,1701,27,0,0,1,0,0,55,4,0,1,2,0,0,1,64,1,0,0,3039,0,1159,70,10,10,4,0,0,0,0,2,0,3,1,0,60,6,56,0,152,6,0,0,0,75,0,39,0,0,19,0,86,0,0,10270,0,1,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,15,0,0,383,0,0,3,13,115,2,0,5,0,36,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,5,0,0,0,4509,0,0,2,41833,2,0,1995,0,0,5,0,305,77,0,731,0,0,3,1,67,0,4,9,0,2595,1,0,0,0,0,0,8,7363,0,0,0,0,0,77,0,0,17,0,0,0,1,2,70,0,0,0,6,2,0,0,0,0,1,0,16,15,56,0,0,4463,0,0,4,0,1,0,0,0,15264,0,4409,101489
197,ZWE,0,0,10,0,0,4,0,4875,79,0,0,0,0,0,47,9,0,0,0,0,0,5,203,0,0,0,7228,0,2153,243,0,16,0,0,0,0,0,6,0,11,0,0,85,7,0,0,151,5,0,0,0,122,0,4,0,0,12,0,231,0,0,23653,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,21,0,0,1062,0,0,6,2,133,0,0,0,0,26,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,10,0,0,0,21807,0,0,1,51248,0,0,946,0,0,0,0,77,90,0,1779,0,0,1,1,27,0,8,0,0,8725,0,0,0,0,0,1,59,2029,0,0,0,0,0,0,0,0,0,0,0,0,2,4,114,0,0,0,0,0,0,0,0,0,0,0,3,193,0,0,0,7493,0,0,12,0,0,0,0,0,70620,0,0,205696
198,TOTAL,7211,12688,10099,12312,522431,169383,39287,589741,132618,6720,27445,106903,29557,145821,106966,12185,42010,5459,281756,56002,8966,14373,78757,2659,14904,19498,25867,16198,1022704,166587,12112,60860,108834,341643,28519,1413,124076,18882,1524,4259,147119,111,53282,74608,1518613,29999,96774,61688,21063,2485,5501,3843,26642,799413,1786,396296,49973,790,614147,43,36590,843728,0,27166,84283,9310,8788,5112,19981,341625,802,1429,8222,7653,2896,552821,4356,51710,5949,103523,136738,680806,109352,743251,56968,4985,265908,553277,5255,109094,239673,43442,127450,19263,93039,65926,199447,797,137184,453092,128598,1352,2,6,341,25246,54614,28298,2579,422,2221,786,177870,27912,24216,5460,39318,0,0,98820,14732,4830,13959,120182,666582,8956,40752,7169,44691,105798,180,264260,74352,124225,120003,3150,367626,18960,1219,62974,2688,33986,66462,4189,253235,16861,104207,4204,57709,13023,15919,2248308,1815987,130443,70652,1391,307204,467,56323,0,66718,209138,399949,1141,4571,51663,33680,123090,3863,178,71250,130849,595723,2326,2064,0,270,2998,697,106877,167823,323295,235209,5211,8648547,15304,662,107044,830,19578,0,693,3365,300561,184793,5583,34165758
